id,name,country,signup_date
1,Alice Smith,Uruguay,2025-04-25
2,Michael Johnson,Argentina,2025-01-26
3,Sophie Williams,Chile,2025-10-09
4,Martin Brown,Brazil,2025-09-08
5,Valerie Jones,Mexico,2025-08-17
6,Jack Miller,USA,2025-05-23
7,Emily Davis,,2025-04-15
8,Brandon Wilson,Argentina,2025-03-31
9,Ashley Moore,Chile,2026-03-09
10,Philip Taylor,Brazil,2025-02-02
11,Julia Anderson,Mexico,2025-01-31
12,Thomas Baker,USA,2025-04-06
13,Rachel Jackson,Uruguay,2025-08-12
14,Ian White,Argentina,2025-08-27
15,Paula Harris,Chile,2026-06-02
16,James Cooper,Brazil,2025-01-28
17,Caroline Thompson,Mexico,2025-07-23
18,Andrew Lewis,USA,2026-03-06
19,Michelle Clark,Uruguay,2025-08-14
20,Frank Walker,Argentina,2026-04-05
